unique_id,ds,cutoff,FEDformer,Autoformer,PatchTST,Informer,VanillaTransformer,y
A,2017-11-10,2017-11-09,,68.13832,67.46473,67.40696,67.54839,69.31
A,2017-11-13,2017-11-09,,68.21859,67.47769,67.39686,67.51562,67.13
A,2017-11-14,2017-11-09,,68.02029,67.47463,67.39955,67.50758,67.46
A,2017-11-15,2017-11-09,,67.88446,67.481926,67.42737,67.52827,67.31
A,2017-11-16,2017-11-09,,67.646095,67.48056,67.42526,67.55211,68.74
A,2017-11-17,2017-11-09,,67.38643,67.49496,67.43278,67.56511,68.79
A,2017-11-20,2017-11-09,,67.21756,67.47665,67.48025,67.56577,69.96
A,2017-11-21,2017-11-09,,67.04314,67.433174,67.44684,67.56463,69.91
A,2017-11-22,2017-11-09,,66.966385,67.51982,67.49709,67.570526,68.69
A,2017-11-24,2017-11-09,,66.93547,67.522064,67.51219,67.58258,69.36
A,2017-11-27,2017-11-09,,66.92793,67.48545,67.45446,67.59675,69.31
A,2017-11-28,2017-11-09,,66.96055,67.507805,67.49581,67.608444,70.59
A,2017-11-29,2017-11-09,,67.006874,67.531784,67.51551,67.613594,68.69
A,2017-11-30,2017-11-09,,66.90551,67.54202,67.52837,67.61497,69.24
A,2017-12-01,2017-11-09,,66.80774,67.53323,67.545364,67.61934,68.69
A,2017-12-04,2017-11-09,,66.60671,67.5258,67.55629,67.628685,66.24
A,2017-12-05,2017-11-09,,66.39722,67.51471,67.581406,67.641464,65.83
A,2017-12-06,2017-11-09,,66.16162,67.53373,67.59127,67.655716,65.89
A,2017-12-07,2017-11-09,,66.09764,67.54958,67.58178,67.66351,66.71
A,2017-12-08,2017-11-09,,66.61978,67.55014,67.58569,67.67173,67.38
A,2017-12-11,2017-12-08,,67.77755,67.36219,67.72106,67.44714,67.0
A,2017-12-12,2017-12-08,,67.9934,67.45223,67.58478,67.58179,67.06
A,2017-12-13,2017-12-08,,67.8653,67.50708,67.83154,67.65158,66.68
A,2017-12-14,2017-12-08,,67.96032,67.50338,67.873215,67.70063,66.51
A,2017-12-15,2017-12-08,,67.94519,67.53896,67.766,67.73577,67.61
A,2017-12-18,2017-12-08,,68.27371,67.6062,67.886635,67.76182,67.66
A,2017-12-19,2017-12-08,,68.02669,67.63766,67.93742,67.78314,67.75
A,2017-12-20,2017-12-08,,68.01968,67.73326,67.914604,67.80638,67.4
A,2017-12-21,2017-12-08,,68.04507,67.64606,67.92676,67.84173,67.52
A,2017-12-22,2017-12-08,,67.97144,67.63725,67.96505,67.89249,67.35
A,2017-12-26,2017-12-08,,67.87116,67.67485,68.11621,67.947845,67.25
A,2017-12-27,2017-12-08,,67.81372,67.65148,68.03555,67.99072,67.3
A,2017-12-28,2017-12-08,,67.83599,67.66262,68.33599,68.00869,67.45
A,2017-12-29,2017-12-08,,67.63253,67.590096,68.368484,68.00405,66.97
A,2018-01-02,2017-12-08,,67.32758,67.68649,68.27832,67.998886,67.6
A,2018-01-03,2017-12-08,,67.01646,67.624916,68.406456,68.02013,69.32
A,2018-01-04,2017-12-08,,66.87723,67.70343,68.4136,68.07768,68.8
A,2018-01-05,2017-12-08,,66.96569,67.67156,68.419136,68.155716,69.9
A,2018-01-08,2017-12-08,,67.04815,67.76808,68.42646,68.22205,70.05
A,2018-01-09,2017-12-08,,67.02737,67.63216,68.4659,68.4162,71.77
A,2018-01-10,2018-01-09,,72.24255,71.77426,71.771255,71.26262,70.79
A,2018-01-11,2018-01-09,,70.307045,71.823166,71.67631,71.5026,70.8
A,2018-01-12,2018-01-09,,70.603424,71.81642,71.65601,71.56346,71.73
A,2018-01-16,2018-01-09,,70.862465,71.824104,71.709656,71.606735,71.23
A,2018-01-17,2018-01-09,,70.93179,71.85284,71.99883,71.631874,72.06
A,2018-01-18,2018-01-09,,71.14573,71.80055,71.954056,71.66334,72.19
A,2018-01-19,2018-01-09,,71.449005,71.77158,71.9653,71.70937,73.07
A,2018-01-22,2018-01-09,,71.58712,71.83165,72.16456,71.7603,73.48
A,2018-01-23,2018-01-09,,71.417625,71.85577,71.7649,71.8014,73.44
A,2018-01-24,2018-01-09,,71.38224,71.89874,72.17442,71.831474,73.58
A,2018-01-25,2018-01-09,,71.2145,71.893265,71.98004,71.86767,73.86
A,2018-01-26,2018-01-09,,71.15826,71.85919,72.00277,71.91794,74.82
A,2018-01-29,2018-01-09,,70.85976,71.8504,71.99395,71.96499,74.53
A,2018-01-30,2018-01-09,,70.74754,71.91853,72.2031,71.990555,72.99
A,2018-01-31,2018-01-09,,70.49599,72.001175,72.14934,71.99535,73.43
A,2018-02-01,2018-01-09,,70.36847,71.90938,72.04853,71.99685,72.83
A,2018-02-02,2018-01-09,,70.19113,71.955315,72.23292,72.01888,71.25
A,2018-02-05,2018-01-09,,70.21682,72.01631,72.138374,72.07122,68.22
A,2018-02-06,2018-01-09,,69.98746,71.963264,72.07995,72.12697,68.45
A,2018-02-07,2018-01-09,,69.44269,71.961754,72.326385,72.10554,68.06
AAL,2017-11-10,2017-11-09,,46.68516,46.02652,45.7177,45.554512,45.82
AAL,2017-11-13,2017-11-09,,47.631718,46.028122,45.798145,45.633904,45.74
AAL,2017-11-14,2017-11-09,,47.94346,46.125256,45.773994,45.68483,45.81
AAL,2017-11-15,2017-11-09,,48.345684,46.198627,45.84483,45.741467,47.19
AAL,2017-11-16,2017-11-09,,48.637848,46.113464,46.040695,45.798706,47.68
AAL,2017-11-17,2017-11-09,,48.587433,46.22472,45.815586,45.848534,47.39
AAL,2017-11-20,2017-11-09,,48.24612,46.471527,45.893223,45.885742,47.69
AAL,2017-11-21,2017-11-09,,48.137028,46.59242,45.961994,45.919777,48.65
AAL,2017-11-22,2017-11-09,,47.683304,46.352406,45.95016,45.976025,48.66
AAL,2017-11-24,2017-11-09,,47.36079,46.67908,45.575554,46.06176,48.56
AAL,2017-11-27,2017-11-09,,47.167747,46.931366,46.573654,46.157448,48.42
AAL,2017-11-28,2017-11-09,,46.94809,46.97686,46.39087,46.23779,49.22
AAL,2017-11-29,2017-11-09,,47.026814,46.70681,46.375656,46.285675,49.25
AAL,2017-11-30,2017-11-09,,46.741528,46.94998,46.663948,46.30383,50.49
AAL,2017-12-01,2017-11-09,,46.968014,46.911884,46.8879,46.32484,49.0
AAL,2017-12-04,2017-11-09,,46.602856,47.058434,46.681625,46.37868,49.93
AAL,2017-12-05,2017-11-09,,46.244057,47.320717,46.766766,46.46143,49.47
AAL,2017-12-06,2017-11-09,,45.571415,47.28449,46.94921,46.54068,49.61
AAL,2017-12-07,2017-11-09,,45.610653,47.23096,46.71709,46.580032,50.88
AAL,2017-12-08,2017-11-09,,45.409195,47.49736,46.74833,46.654938,51.02
AAL,2017-12-11,2017-12-08,,52.102386,50.991486,51.06277,51.41815,51.3
AAL,2017-12-12,2017-12-08,,51.311348,51.091564,51.095398,51.338646,50.47
AAL,2017-12-13,2017-12-08,,51.22692,51.043964,51.13515,51.3484,50.09
AAL,2017-12-14,2017-12-08,,51.460518,51.15545,51.127262,51.37204,50.21
AAL,2017-12-15,2017-12-08,,51.225677,51.21683,51.187748,51.395172,51.06
AAL,2017-12-18,2017-12-08,,50.975723,51.16058,51.21946,51.415688,51.49
AAL,2017-12-19,2017-12-08,,50.523674,51.107513,51.23672,51.436565,51.44
